WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	143	ug/l	""		0.143	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	OP_mgl	Phosphorus, phosphate (PO4) as P	Dissolved	0.073	mg/l	""		0.073	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	TSS_mgl	Total Suspended Solids (TSS)		17	mg/l	"I"		17	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	Turb_ntu	Turbidity		22.4	NTU	""		22.4	NTU
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	DO_mgl	Dissolved oxygen (DO)		4.56	mg/l	""		4.56	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	pH	pH		7.8	None	""		7.8	SU
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	Cond_umhocm	Specific conductance		336	umho	""		336	uS/cm
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	TempW_C	Temperature, water		30.1	deg C	""		30.1	deg C
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	TempW_C	Temperature, water		30.1	deg C	""		30.1	deg C
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	TN_ugl	Nitrogen		1229	ug/l	""	Water Institute Calculated		
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/20/2016 7:47:00 AM	0.5	m	TN_ugl	Nitrogen		1243	ug/l	""	Water Institute Calculated		
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/20/2016 7:47:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl	Total	1010	ug/l	""		1.01	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/20/2016 7:47:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Dissolved	233	ug/l	""		0.233	mg/L
